"iso2c","country","year","EN.ATM.METH.KT.CE","EG.USE.ELEC.KH.PC","EN.ATM.CO2E.PC","SP.POP.GROW","EG.USE.COMM.CL.ZS"
"MY","Malaysia",1997,NA,2444.08907230677,5.723601318316,2.54137954013875,0.740146128851175
"MY","Malaysia",1998,NA,2497.83881727486,5.10716787201505,2.49073170725972,0.976019874497772
"MY","Malaysia",1999,NA,2620.68663736732,4.71358847201829,2.38849323812442,1.48990538738185
"MY","Malaysia",2000,29241.7,2720.49346325402,5.40559843704414,2.25475680320665,1.21028339665471
"MY","Malaysia",2001,NA,2733.92003490829,5.71535355829947,2.1132763204192,1.17805715514533
"MY","Malaysia",2002,NA,2798.17491836829,5.53762303767437,1.99089661376297,0.856113535032454
"MY","Malaysia",2003,NA,2894.67914072634,6.44430853904411,1.89749032958236,0.761604735311632
"MY","Malaysia",2004,NA,2967.70578081674,6.6055728823269,1.84303881206373,0.81721577593804
"MY","Malaysia",2005,36500.4,2861.98035022626,6.87594733224263,1.8154803059925,0.670768061518279
"MY","Malaysia",2006,NA,3058.44165536308,6.49762784578545,1.79386841241951,0.827470914949437
"MY","Malaysia",2007,NA,3271.64287739519,7.03779132288317,1.76463062525588,0.761473089611728
"MY","Malaysia",2008,35122.2,3290.75343509618,7.65653273937501,1.73128406336112,0.836938895266641
"MY","Malaysia",2009,NA,3952.63847312628,7.37323598767175,1.69020143628119,0.820268060993808
"MY","Malaysia",2010,33598.8,4158.57323209872,7.9869514749551,1.64391923889796,0.735681694954625
"MY","Malaysia",2011,NA,4113.81805951569,7.89882357346821,1.59978801919266,0.828733597957171
"MZ","Mozambique",1990,11782.7,40.9812435279735,0.0748648796800412,1.43130130245837,0.412426144413318
"MZ","Mozambique",1991,NA,54.1550991836429,0.074837536524626,2.56831081098649,0.471260617911602
"MZ","Mozambique",1992,NA,52.5908676204787,0.0704795773186782,3.46787918906511,0.468210280859162
"MZ","Mozambique",1993,NA,49.269495137243,0.0729633848468013,3.94732187073226,0.486062346236615
"MZ","Mozambique",1994,NA,43.0903598988874,0.0696972902217103,3.89703335314493,0.511758944563025
"MZ","Mozambique",1995,NA,44.9315315726331,0.0698230344921458,3.51764801357322,0.518656121475711
"MZ","Mozambique",1996,NA,44.6048349813053,0.0634600055804792,3.07955209386118,0.603197286158954
"MZ","Mozambique",1997,NA,52.9251173005511,0.0667205558547863,2.77702943453365,1.27460770944854
"MZ","Mozambique",1998,NA,47.6400119741005,0.0654315642277444,2.60018429983656,8.83193087090161
"MZ","Mozambique",1999,NA,67.1765256188426,0.0668450314069949,2.60300380963677,9.73664929378668
"MZ","Mozambique",2000,12970.3,121.82077880325,0.0738839464632444,2.72208275483844,11.5726945462622
"MZ","Mozambique",2001,NA,268.939122431529,0.0841021166211349,2.84889884750366,13.4937292134892
"MZ","Mozambique",2002,NA,257.743214471865,0.0820628656735085,2.91757643800461,14.2568166511515
"MZ","Mozambique",2003,NA,363.248686704707,0.0962361133524577,2.95246582507772,11.5946350285928
"MZ","Mozambique",2004,NA,435.50800342189,0.0936263272140512,2.94032885696021,11.9819336272751
"MZ","Mozambique",2005,13749.5,437.503751181681,0.0862652979578993,2.8982551551999,13.4378245101902
"MZ","Mozambique",2006,NA,445.122012930436,0.0910936035101891,2.851893341105,14.4774868149339
"MZ","Mozambique",2007,NA,445.713854835837,0.106928569546992,2.8201973022713,15.1694072598954
"MZ","Mozambique",2008,8517.4,429.574130609236,0.101742097486365,2.8013603301031,14.0206970221697
"MZ","Mozambique",2009,NA,429.638002496214,0.108702093618374,2.79997045543697,15.1890440488529
"MZ","Mozambique",2010,9772.4,438.583922007633,0.118205418367822,2.80882431794627,14.4631603320974
"MZ","Mozambique",2011,NA,439.302662385991,0.131189805492051,2.81934710723766,14.07195301471
"NA","Namibia",1990,3553.5,NA,0.0181349072059922,3.92837058391561,NA
"NA","Namibia",1991,NA,1049.68652636289,0.692806066492424,3.5195899313157,18.2004171822747
"NA","Namibia",1992,NA,1007.47247287917,0.741302870008304,3.1908436216034,14.7236795639547
"NA","Namibia",1993,NA,1073.43473465514,0.738347397850566,2.98027145619795,11.313234097779
"NA","Namibia",1994,NA,946.552183670978,0.822080571518245,2.92870790478498,7.22813810906744
"NA","Namibia",1995,NA,938.209929307816,0.986459430279275,2.9686460137323,10.9103601658414
"NA","Namibia",1996,NA,1009.17759356003,1.02568975617308,3.04438103256449,7.62617179550014
"NA","Namibia",1997,NA,956.716267646211,1.02203120760686,3.04621922065479,5.31265791890855
"NA","Namibia",1998,NA,1039.27245403112,1.0535493281471,2.90506713283334,8.30399440897601
"NA","Namibia",1999,NA,1098.35677212327,0.896354963065061,2.5851943066878,9.84305393735865
"NA","Namibia",2000,4581.7,994.755929151038,0.865572540521288,2.16413485000208,12.0225397585198
"NA","Namibia",2001,NA,1029.51571849892,1.04445612517834,1.72646558021717,8.88532836452489
"NA","Namibia",2002,NA,1066.0202099452,0.899073374574575,1.37547510833538,11.3946526752918
"NA","Namibia",2003,NA,1109.80338101247,0.946128588747159,1.15696467119785,10.8262856402718
"NA","Namibia",2004,NA,1384.59963699822,0.979578029154985,1.11537489724426,9.72362255848673
"NA","Namibia",2005,5251.3,1454.84073711931,1.13970417745012,1.20509546825384,11.3910298278251
"NA","Namibia",2006,NA,1541.93333219729,1.13371049921735,1.31780337568243,10.3307752743895
"NA","Namibia",2007,NA,1547.15832666882,1.15651357015785,1.41449641733408,10.2345138230444
"NA","Namibia",2008,4941.9,1582.92539170195,1.69163252119981,1.5494452821085,8.54122411634744
"NA","Namibia",2009,NA,1530.87986797729,1.4788234479689,1.71763757577171,8.47967619930482
"NA","Namibia",2010,4988.2,1532.15450280652,1.44931923745113,1.90001113794702,7.22700178351959
"NA","Namibia",2011,NA,1550.78139473011,1.23916048891129,2.09841061703359,7.97206785010067
"NC","New Caledonia",1990,NA,NA,9.50550325045787,2.36898913568499,NA
"NC","New Caledonia",1991,NA,NA,10.2045825207286,2.57796700747493,NA
"NC","New Caledonia",1992,NA,NA,9.85078337476849,2.498715148269,NA
"NC","New Caledonia",1993,NA,NA,9.59999674789697,2.57882227419684,NA
"NC","New Caledonia",1994,NA,NA,9.09579801775367,2.66662501748002,NA
"NC","New Caledonia",1995,NA,NA,8.93024311718331,2.26152221847957,NA
"NC","New Caledonia",1996,NA,NA,8.92787653621105,1.91533270926652,NA
"NC","New Caledonia",1997,NA,NA,9.06654817345024,1.9319768189133,NA
"NC","New Caledonia",1998,NA,NA,8.78883860502048,1.89876787901388,NA
"NC","New Caledonia",1999,NA,NA,9.72776678424962,1.89876220974421,NA
"NC","New Caledonia",2000,NA,NA,10.7827650893401,1.90137437804069,NA
"NC","New Caledonia",2001,NA,NA,8.77418048627855,1.9017932212971,NA
"NC","New Caledonia",2002,NA,NA,10.9601065510858,1.89881141880703,NA
"NC","New Caledonia",2003,NA,NA,12.2305085650248,1.51361216423452,NA
"NC","New Caledonia",2004,NA,NA,11.1794373119226,1.51338494634146,NA
"NC","New Caledonia",2005,NA,NA,12.2455356179809,1.51369186158911,NA
"NC","New Caledonia",2006,NA,NA,11.8122423655201,1.51364610150532,NA
"NC","New Caledonia",2007,NA,NA,12.3255602715758,1.51326335244753,NA
"NC","New Caledonia",2008,NA,NA,13.5313095247912,1.51379571098143,NA
"NC","New Caledonia",2009,NA,NA,11.5708298645658,1.51355921673525,NA
"NC","New Caledonia",2010,NA,NA,15.680092,1.51339425847166,NA
"NC","New Caledonia",2011,NA,NA,15.1732952755906,1.58733491562902,NA
"NE","Niger",1990,NA,NA,0.105209960105583,3.08885742866871,NA
"NE","Niger",1991,NA,NA,0.10055388565859,3.19602484896534,NA
"NE","Niger",1992,NA,NA,0.0929527748856062,3.29321554307008,NA
"NE","Niger",1993,NA,NA,0.100782135699971,3.37933608395765,NA
"NE","Niger",1994,NA,NA,0.0965524398036616,3.45065866602534,NA
"NE","Niger",1995,NA,NA,0.0983150664095112,3.50912587736792,NA
"NE","Niger",1996,NA,NA,0.104698749604452,3.56546769894559,NA
"NE","Niger",1997,NA,NA,0.100615968251191,3.61595594836327,NA
"NE","Niger",1998,NA,NA,0.102987283105349,3.64772028897917,NA
"NE","Niger",1999,NA,NA,0.0979318452619126,3.65878144885413,NA
"NE","Niger",2000,NA,NA,0.0708929011949996,3.65721413091283,NA
"NE","Niger",2001,NA,NA,0.0651991855910357,3.65447661416653,NA
"NE","Niger",2002,NA,NA,0.0674126040670285,3.65735621294226,NA
"NE","Niger",2003,NA,NA,0.0702561922609461,3.66450954742508,NA
"NE","Niger",2004,NA,NA,0.0742089958057903,3.67781791287904,NA
"NE","Niger",2005,NA,NA,0.0614545944231985,3.69677471225429,NA
"NE","Niger",2006,NA,NA,0.0576426902018001,3.71277046284324,NA
"NE","Niger",2007,NA,NA,0.056541083677029,3.73144293888598,NA
"NE","Niger",2008,NA,NA,0.0607717666337645,3.76570680988782,NA
"NE","Niger",2009,NA,NA,0.0734701216689891,3.81785689241244,NA
"NE","Niger",2010,NA,NA,0.0830544948775441,3.87855166574954,NA
"NE","Niger",2011,NA,NA,0.0839581777578064,3.93868617023042,NA
"NG","Nigeria",1990,65137.4,86.7102093244693,0.474552582483858,2.58237595891654,0.568012026109445
"NG","Nigeria",1991,NA,89.2181383584817,0.461303072558091,2.54846581408337,0.732796656534981
"NG","Nigeria",1992,NA,89.6687503152572,0.645017522088982,2.52383898807116,0.720143208817801
"NG","Nigeria",1993,NA,100.450731088099,0.582303929863149,2.50593822115745,0.651787819772926
"NG","Nigeria",1994,NA,95.1461578124319,0.4412061045442,2.49703515577921,0.666973968226276
"NG","Nigeria",1995,NA,91.0861536853618,0.322040408791264,2.49500295866053,0.641852556371854
"NG","Nigeria",1996,NA,85.5217905555247,0.363616856944929,2.49553965568705,0.615689838941266
"NG","Nigeria",1997,NA,81.631897435803,0.352623826327612,2.49671640722037,0.605588647076854
"NG","Nigeria",1998,NA,76.61258823123,0.343853742915143,2.50029415058152,0.621025418564755
"NG","Nigeria",1999,NA,75.4091981746467,0.373780745886934,2.50600681410069,0.638288520274824
"NG","Nigeria",2000,82588.8,74.1312087237222,0.644398133892291,2.51389824413096,0.562516099432793
"NG","Nigeria",2001,NA,75.1974359229721,0.661436757476406,2.52188309236914,0.562534262159382
"NG","Nigeria",2002,NA,104.134522769989,0.759211411905749,2.53193230813328,0.759570288076228
"NG","Nigeria",2003,NA,101.401791520149,0.702497288384553,2.54776752379079,0.650131587783152
"NG","Nigeria",2004,NA,122.984573757484,0.713407232041332,2.57024330871753,0.688270112913085
"NG","Nigeria",2005,84122.4,128.63571655083,0.749914331793035,2.5962291019735,0.634407194534348
"NG","Nigeria",2006,NA,111.144439480115,0.687380143728062,2.62038602059581,0.507260614777624
"NG","Nigeria",2007,NA,138.142401411564,0.647289877544862,2.64034632877493,0.487113542675551
"NG","Nigeria",2008,95807.7,126.532201161411,0.613327638535042,2.6576178490224,0.434562922075684
"NG","Nigeria",2009,NA,119.949374753334,0.462535787253866,2.67149879773058,0.349487843472545
"NG","Nigeria",2010,88021.4,135.637666580009,0.534553664198497,2.68113298236383,0.456918164483371
"NG","Nigeria",2011,NA,149.312451059231,0.537497560078966,2.68951155664813,0.398600598635957
"NI","Nicaragua",1990,4811.3,308.355716065671,0.614917516052352,2.1782299011699,18.1513725435813
"NI","Nicaragua",1991,NA,301.406366353892,0.473434344984015,2.20118513732874,19.7290398641279
"NI","Nicaragua",1992,NA,304.298528400311,0.552851551957127,2.20520467315346,19.2202353350336
"NI","Nicaragua",1993,NA,293.906555787915,0.520238550012798,2.17651049636384,17.9740078050217
"NI","Nicaragua",1994,NA,281.14946998569,0.562128834587888,2.10462224676989,15.592450555125
"NI","Nicaragua",1995,NA,293.56738357961,0.602655679065372,2.00384326344392,13.3462323496173
"NI","Nicaragua",1996,NA,313.777913736389,0.611585701682934,1.90165599481806,11.9617948625444
"NI","Nicaragua",1997,NA,352.857045264101,0.656539523227249,1.81010986193561,8.91546720910472
"NI","Nicaragua",1998,NA,344.379559255771,0.702581737779916,1.71884299648586,5.34747188981012
"NI","Nicaragua",1999,NA,331.537856835044,0.732709371409476,1.63017466014607,4.94649390752864
"NI","Nicaragua",2000,5565.7,347.736687732454,0.748457863384839,1.54629179009441,5.2950488628859
"NI","Nicaragua",2001,NA,346.615693770524,0.777145909915208,1.46055804538569,7.64345260815941
"NI","Nicaragua",2002,NA,355.586596067549,0.780659917675612,1.38208277815701,7.85197060361708
"NI","Nicaragua",2003,NA,370.930355917598,0.841729703202289,1.32802444099003,9.60034432970089
"NI","Nicaragua",2004,NA,396.632354013021,0.833581275638204,1.30472415530026,8.76582258251253
"NI","Nicaragua",2005,6045,416.966657725028,0.803023500895186,1.30273719259224,9.46276316144281
"NI","Nicaragua",2006,NA,429.707661181197,0.819491407406347,1.30921509841417,10.3672248812268
"NI","Nicaragua",2007,NA,464.133424143884,0.834055187872627,1.31062390424879,8.16067245456463
"NI","Nicaragua",2008,6199.5,477.967383820321,0.790487626829378,1.30265987452989,11.0735710491896
"NI","Nicaragua",2009,NA,484.064945527252,0.803730282471219,1.28001460652636,9.89978381401185
"NI","Nicaragua",2010,6361.4,514.141326470679,0.805909906405364,1.24738591992654,10.7173636607378
"NI","Nicaragua",2011,NA,537.037601413413,0.843541954964946,1.21373358477113,9.50557910531807
"NL","Netherlands",1990,30114.7,5218.13515825492,10.5944750062034,0.688603823438797,1.41104603912103
"NL","Netherlands",1991,NA,5327.41049349168,10.9592939467404,0.788031035375139,1.27800226381113
"NL","Netherlands",1992,NA,5441.65547189092,10.683788164592,0.756056593396787,1.48673158189534
"NL","Netherlands",1993,NA,5494.11237191937,10.7781783930903,0.696991330125143,1.53062825353374
"NL","Netherlands",1994,NA,5643.0419406354,10.7465233008369,0.602938474274189,1.53801096769876
"NL","Netherlands",1995,NA,5747.00598473149,10.8871358870033,0.49392737251493,1.57191861675527
"NL","Netherlands",1996,NA,5943.72440600424,11.2778474972277,0.461395747607711,1.57211633468043
"NL","Netherlands",1997,NA,6124.02430392072,10.7529534004029,0.514767002117464,0.983810308830035
"NL","Netherlands",1998,NA,6306.59463434911,10.7480167864323,0.616640530679659,1.50174368000774
"NL","Netherlands",1999,NA,6400.23000124968,10.3659659622436,0.665493187073143,1.52088326049929
"NL","Netherlands",2000,24286.4,6559.53751693901,10.3830897629483,0.714770362784392,1.55583423326964
"NL","Netherlands",2001,NA,6652.67372047428,10.4738912314333,0.754840057734904,1.52273889388911
"NL","Netherlands",2002,NA,6693.75659525161,10.6524899576932,0.638291666268526,1.51396668684695
"NL","Netherlands",2003,NA,6751.12241362287,10.77366017594,0.471814398788212,1.54325712823706
"NL","Netherlands",2004,NA,7017.230733816,10.8520529605518,0.347475412048658,1.52034679299916
"NL","Netherlands",2005,21296.1,6987.74034201747,10.5406880129178,0.23366314793854,1.6210927607753
"NL","Netherlands",2006,NA,7054.83221962228,10.2231631261791,0.160613668857538,1.5394898871751
"NL","Netherlands",2007,NA,7209.93723726774,10.4684473451345,0.217521601194242,1.81113463780124
"NL","Netherlands",2008,20464.6,7226.06962242103,10.5294515071606,0.389292461499527,1.88607734614666
"NL","Netherlands",2009,NA,6895.66391303096,10.2456192800798,0.514284544827762,1.97636326742377
"NL","Netherlands",2010,20268.9,7009.52381869488,10.9493162786269,0.512923100553586,1.72209775509917
"NL","Netherlands",2011,NA,7035.67239922377,10.0644897398765,0.466428782200821,2.03632104475995
"NO","Norway",1990,14121.9,23353.915019617,7.39975310464077,0.344151412835214,49.6057572459562
"NO","Norway",1991,NA,23808.6299185402,7.44804037419528,0.476503585004921,43.6602978831113
"NO","Norway",1992,NA,23787.3218114684,6.91839820866037,0.577180268126687,45.5108846275249
"NO","Norway",1993,NA,23967.1186697746,7.41310429451267,0.5952293301816,43.6902130316696
"NO","Norway",1994,NA,24247.263936164,7.05053598280501,0.569388227765026,41.7872883691208
"NO","Norway",1995,NA,24528.4438555473,7.14357641246619,0.519125519812519,44.592920084037
"NO","Norway",1996,NA,23998.8441881654,7.1509804315396,0.506881682762136,39.309537193427
